model_a,model_b,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy,mean_shift_over_raw_delta,centered_delta_over_raw_delta,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,full_affine_update_gain_over_raw,rank_affine_gain_over_w_gain_raw,affine_wins_centered,affine_wins_raw
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,1,121,0.1181640625,250368,248832,0.9938650306748467,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9976239517549904,0.9977998865769117,0.022172663093756904,0.094576023904991,4.265433678628369,0.7923757047880048,0.022172663093756904,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.050088282427062404,0.12042462733214149,0.14449867645059583,2.4042474905683084,1,1
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,2,243,0.2373046875,499712,498688,0.9979508196721312,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9976677767608076,0.9978243382984414,0.040208192809212756,0.10463876644250798,2.602424011917603,0.8766832531606793,0.040208192809212756,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.06760892269014916,0.13020009247463785,0.14449867645059583,1.9257826821371378,1,1
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,3,365,0.3564453125,749056,748544,0.9993164730006835,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.997696662479754,0.9978374670317148,0.05209568107515222,0.11004170147158598,2.1122998912873787,0.9219500583701079,0.05209568107515222,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.07915703959190583,0.13544878117426518,0.14449867645059583,1.7111400561791024,1,1
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,4,487,0.4755859375,998400,998400,1.0,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9977223880128494,0.9978459880283381,0.06268264182816861,0.11354839097312577,1.811480621451709,0.951329762131461,0.06268264182816861,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.08944175724419964,0.1388553595359847,0.14449867645059583,1.5524668098466903,1,1
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,5,608,0.59375,1247744,1246208,0.9987689782519491,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9977439923343786,0.9978517881728703,0.07157357922010733,0.1159353542401602,1.619806575323401,0.9713281890363551,0.07157357922010733,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.09807887065885532,0.1411741782999866,0.14449867645059583,1.4393944113715211,1,1
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,6,730,0.712890625,1497088,1496064,0.9993160054719562,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.997765074603759,0.9978558077378898,0.08024967381011448,0.11758954647589223,1.4652962547128947,0.985187322509335,0.08024967381011448,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.10650727473671062,0.14278114563310657,0.14449867645059583,1.340576462838488,1,1
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,7,852,0.83203125,1746432,1745920,0.9997068308413954,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9977839474234821,0.9978584466340009,0.08801650223565773,0.11867554494502917,1.3483328913399002,0.9942860218080658,0.08801650223565773,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.11405237094269807,0.14383614034655295,0.14449867645059583,1.2611411683744722,1,1
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,8,974,0.951171875,1995776,1995776,1.0,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9978005628037954,0.9978598916094182,0.09485431502732927,0.11927020309945219,1.257404083990151,0.9992681795977845,0.09485431502732927,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.12069497362747217,0.14441382183234974,0.14449867645059583,1.1965189393726232,1,1
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,9,1024,1.0,2245120,2098176,0.9345496009122006,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.997815958305485,0.997860103859318,0.10119010490412184,0.11935755139071841,1.1795377769774062,1.0,0.10119010490412184,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.1268498854579054,0.14449867645059583,0.14449867645059583,1.139131312014839,1,1
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,10,1024,1.0,2494464,2098176,0.8411330049261084,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9978308045364194,0.997860103859318,0.1072998505661363,0.11935755139071841,1.1123738827310865,1.0,0.1072998505661363,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.13278520632355068,0.14449867645059583,0.14449867645059583,1.0882136681589631,1,1
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,11,1024,1.0,2743808,2098176,0.7646949057660011,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9978446442672355,0.997860103859318,0.11299538606541475,0.11935755139071841,1.0563046470023165,1.0,0.11299538606541475,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.1383181421542616,0.14449867645059583,0.14449867645059583,1.0446834681269885,1,1
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,12,1024,1.0,2993152,2098176,0.7009921313718782,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9978573155310171,0.997860103859318,0.1182100563250717,0.11935755139071841,1.0097072541991787,1.0,0.1182100563250717,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.1433839407834957,0.14449867645059583,0.14449867645059583,1.0077744806078621,1,1
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,13,1024,1.0,3242496,2098176,0.6470866887730933,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9978697181386297,0.997860103859318,0.12331416513177171,0.11935755139071841,0.9679143613645251,1.0,0.12331416513177171,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.14834233433648392,0.14449867645059583,0.14449867645059583,0.9740892719325183,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,14,1024,1.0,3491840,2098176,0.6008797653958944,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9978815589887863,0.997860103859318,0.12818709100761053,0.11935755139071841,0.9311199002373187,1.0,0.12818709100761053,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.1530761449118447,0.14449867645059583,0.14449867645059583,0.943966001585756,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,15,1024,1.0,3741184,2098176,0.5608320788285206,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9978929921961895,0.997860103859318,0.13289225756762907,0.11935755139071841,0.8981527861393819,1.0,0.13289225756762907,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.15764698546804662,0.14449867645059583,0.14449867645059583,0.9165965084684996,0,0
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,16,1024,1.0,3990528,2098176,0.5257890685142417,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979041482948878,0.997860103859318,0.13748338415918826,0.11935755139071841,0.8681598297909044,1.0,0.13748338415918826,0.11935755139071841,0.0024299261795311103,0.02854861822704608,0.9714513817729539,0.16210704173931134,0.14449867645059583,0.14449867645059583,0.8913781591484965,0,0
